w,errormargin,pollutionplus,exceptionalplus,superexceptionalplus,typebeam,pollution1,pollution2,exceptional1,exceptional2,exceptionalexclude,exceptionaloverlap
25,10.0,4,5,25,Jaccard,9999,8,9999,9999,1,7
25,10.0,8,1,4,normal,3,2,9999,9999,9999,9999
25,10.0,8,1,4,Jaccard,3,2,9999,9999,9999,9999
25,10.0,8,1,12,normal,5,1,9999,9999,6,9999
25,10.0,8,1,12,Jaccard,4,1,9999,9999,5,9999
25,10.0,8,1,25,normal,9999,4,9999,9999,3,11
25,10.0,8,1,25,Jaccard,9999,3,9999,9999,2,8
25,10.0,8,3,4,normal,3,2,16,9999,9999,9999
25,10.0,8,3,4,Jaccard,3,2,11,9999,9999,9999
25,10.0,8,3,12,normal,5,1,9999,9999,6,9999
25,10.0,8,3,12,Jaccard,4,1,9999,9999,5,9999
25,10.0,8,3,25,normal,9999,4,9999,9999,3,11
25,10.0,8,3,25,Jaccard,9999,3,9999,9999,2,8
25,10.0,8,5,4,normal,3,2,9999,9999,9999,9999
25,10.0,8,5,4,Jaccard,3,2,9999,9999,9999,9999
25,10.0,8,5,12,normal,5,2,9999,9999,6,9999
25,10.0,8,5,12,Jaccard,4,2,9999,9999,5,9999
25,10.0,8,5,25,normal,9999,2,9999,9999,1,9999
25,10.0,8,5,25,Jaccard,23,2,9999,9999,1,9999
25,10.0,20,1,4,normal,2,3,9999,9999,15,9999
25,10.0,20,1,4,Jaccard,2,3,9999,9999,11,9999
25,10.0,20,1,12,normal,3,1,9999,9999,9999,9999
25,10.0,20,1,12,Jaccard,3,1,9999,9999,9999,9999
25,10.0,20,1,25,normal,3,9999,9999,9999,11,9999
25,10.0,20,1,25,Jaccard,3,9999,9999,9999,9,9999
25,10.0,20,3,4,normal,3,2,8,9999,9999,12
25,10.0,20,3,4,Jaccard,3,2,6,9999,9999,9999
25,10.0,20,3,12,normal,3,2,9999,9999,9999,9999
25,10.0,20,3,12,Jaccard,3,2,9999,9999,9999,9999
25,10.0,20,3,25,normal,3,2,9999,9999,8,9999
25,10.0,20,3,25,Jaccard,3,2,9999,9999,6,9999
25,10.0,20,5,4,normal,2,3,21,19,9999,9999
25,10.0,20,5,4,Jaccard,2,3,13,12,9999,9999
25,10.0,20,5,12,normal,3,2,9999,9999,9999,9999
25,10.0,20,5,12,Jaccard,3,2,9999,9999,9999,9999
25,10.0,20,5,25,normal,10,9999,9999,9999,9,9999
25,10.0,20,5,25,Jaccard,9,9999,9999,9999,8,9999
60,0.5,4,1,4,normal,5,2,9999,9999,8,9999
60,0.5,4,1,4,Jaccard,4,2,9999,54,6,9999
60,0.5,4,1,12,normal,36,5,9999,9999,1,9999
60,0.5,4,1,12,Jaccard,19,2,9999,9999,1,9999
60,0.5,4,1,25,normal,9999,21,9999,9999,2,15
60,0.5,4,1,25,Jaccard,9999,8,9999,9999,1,7
60,0.5,4,3,4,normal,5,2,9999,9999,12,9999
60,0.5,4,3,4,Jaccard,4,2,56,9999,9,9999
60,0.5,4,3,12,normal,46,4,9999,9999,3,9999
60,0.5,4,3,12,Jaccard,31,3,9999,48,2,9999
60,0.5,4,3,25,normal,9999,13,9999,9999,2,9
60,0.5,4,3,25,Jaccard,9999,8,9999,9999,1,5
60,0.5,4,5,4,normal,8,2,5,18,9999,9999
60,0.5,4,5,4,Jaccard,6,2,4,11,35,9999
60,0.5,4,5,12,normal,49,5,20,9999,1,9999
60,0.5,4,5,12,Jaccard,31,2,13,46,1,9999
60,0.5,4,5,25,normal,9999,11,9999,9999,2,5
60,0.5,4,5,25,Jaccard,9999,8,9999,9999,1,4
60,0.5,8,1,4,normal,3,2,9999,9999,9999,9999
60,0.5,8,1,4,Jaccard,3,2,9999,9999,9999,9999
60,0.5,8,1,12,normal,5,1,9999,9999,6,9999
60,0.5,8,1,12,Jaccard,4,1,9999,9999,5,9999
60,0.5,8,1,25,normal,35,9,9999,9999,3,16
60,0.5,8,1,25,Jaccard,21,3,9999,9999,2,8
60,0.5,8,3,4,normal,3,2,58,9999,9999,9999
60,0.5,8,3,4,Jaccard,3,2,35,9999,9999,9999
60,0.5,8,3,12,normal,11,1,9999,9999,5,9999
